Campaign,Ad Group,Keyword,Criterion Type,Status
Anxiete Paris Search 2026,Anxiete Stress,hypnose anxiété paris,Exact,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnothérapeute anxiété,Exact,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnose pour l'anxiété,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnothérapie anxiété,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnose anxiété généralisée,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,séance hypnose anxiété,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnose crise d'angoisse,Phrase,Enabled
Anxiete Paris Search 2026,Anxiete Stress,hypnose stress paris,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,peur de parler en public paris,Exact,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,peur de prendre la parole,Exact,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,anxiete prise de parole public,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,stress presentation orale,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,panique parler devant groupe,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,trac reunion orale,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Urgent,hypnose peur parler public paris,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Large,prise de parole en public,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Large,prise de parole,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Large,hypnose prise de parole paris,Exact,Enabled
Anxiete Paris Search 2026,Prise Parole Large,coach prise de parole,Phrase,Enabled
Anxiete Paris Search 2026,Prise Parole Large,orateur formation paris,Phrase,Enabled
Anxiete Paris Search 2026,Situations Precises,peur oral reunion,Exact,Enabled
Anxiete Paris Search 2026,Situations Precises,stress presentation travail,Exact,Enabled
Anxiete Paris Search 2026,Situations Precises,phobie presentation powerpoint,Phrase,Enabled
Anxiete Paris Search 2026,Situations Precises,angoisse pitch commercial,Phrase,Enabled
Anxiete Paris Search 2026,Situations Precises,nervosite entretien embauche,Phrase,Enabled
Anxiete Paris Search 2026,Situations Precises,stress presentiel salle conference,Phrase,Enabled
