Campaign,Ad Group,Keyword,Criterion Type,Status
Prise de Parole Paris Search 2026,Prise Parole Urgent,peur de parler en public paris,Exact,Enabled
Prise de Parole Paris Search 2026,Prise Parole Urgent,peur de prendre la parole,Exact,Enabled
Prise de Parole Paris Search 2026,Prise Parole Urgent,anxiete prise de parole public,Phrase,Enabled
Prise de Parole Paris Search 2026,Prise Parole Urgent,stress presentation orale,Phrase,Enabled
Prise de Parole Paris Search 2026,Prise Parole Urgent,panique parler devant groupe,Phrase,Enabled
Prise de Parole Paris Search 2026,Prise Parole Urgent,trac reunion orale,Phrase,Enabled
Prise de Parole Paris Search 2026,Prise Parole Urgent,hypnose peur parler public paris,Phrase,Enabled
Prise de Parole Paris Search 2026,Prise Parole Large,prise de parole en public,Phrase,Enabled
Prise de Parole Paris Search 2026,Prise Parole Large,prise de parole,Phrase,Enabled
Prise de Parole Paris Search 2026,Prise Parole Large,hypnose prise de parole paris,Exact,Enabled
Prise de Parole Paris Search 2026,Prise Parole Large,coach prise de parole,Phrase,Enabled
Prise de Parole Paris Search 2026,Prise Parole Large,orateur formation paris,Phrase,Enabled
Prise de Parole Paris Search 2026,Situations Precises,peur oral reunion,Exact,Enabled
Prise de Parole Paris Search 2026,Situations Precises,stress presentation travail,Exact,Enabled
Prise de Parole Paris Search 2026,Situations Precises,phobie presentation powerpoint,Phrase,Enabled
Prise de Parole Paris Search 2026,Situations Precises,angoisse pitch commercial,Phrase,Enabled
Prise de Parole Paris Search 2026,Situations Precises,nervosite entretien embauche,Phrase,Enabled
Prise de Parole Paris Search 2026,Situations Precises,stress presentiel salle conference,Phrase,Enabled
